hours,minute,frame
17,15,0
17,30,1
17,45,2
18,0,3
18,15,4
18,30,5
18,45,6
19,0,7
19,15,8
19,30,9
19,45,10
20,0,11
20,15,12
20,30,13
20,45,14
21,0,15
21,15,16
21,30,17
21,45,18
22,0,19
22,15,20
22,30,21
22,45,22
23,0,23
23,15,24
23,30,25
23,45,26
0,0,27
0,15,28
0,30,29
0,45,30
1,0,31
1,15,32
1,30,33
1,45,34
2,0,35
2,15,36
2,30,37
2,45,38
3,0,39
3,15,40
3,30,41
3,45,42
4,0,43
4,15,44
4,30,45
4,45,46
5,0,47
5,15,48
5,30,49
5,45,50
6,0,51
6,15,52
6,30,53
6,45,54
7,0,55
7,15,56
7,30,57
7,45,58
8,0,59
8,15,60
8,30,61
8,45,62
9,0,63
9,15,64
9,30,65
9,45,66
10,0,67
10,15,68
10,30,69
10,45,70
11,0,71
11,15,72
11,30,73
11,45,74
12,0,75
12,15,76
12,30,77
12,45,78
13,0,79
13,15,80
13,30,81
13,45,82
14,0,83
14,15,84
14,30,85
14,45,86
15,0,87
15,15,88
15,30,89
15,45,90
16,0,91
16,15,92
16,30,93
16,45,94
17,0,95
